dimension,group,horizon,rows,rmse,mae,bias,pearson,rank_ic,prediction_mean,prediction_std,target_mean,target_std,accuracy,balanced_accuracy,mcc,auc,target_up_rate,prediction_up_rate
date,2026-01-05,5,47185,0.0036574277441856337,0.0020359615509120267,-0.0003217351884411563,-0.0016806769605489256,0.01975976562501028,-0.0001360708488133926,4.7098224146874844e-05,0.00018566433962776367,0.003642865522340143,0.5073260851099974,0.5003903562153945,0.008521811231724189,0.5064807625250932,0.4930349103881763,0.0021022679011297035
date,2026-01-05,15,47092,0.00646768506415579,0.0035958247492448693,-0.0008581250326721435,0.019099181880154352,0.04396012220697562,-0.00020522709201696202,0.00015907781150006241,0.0006528979406551814,0.006411569678954689,0.4899868191674816,0.5001630065691046,0.001883075166444854,0.5195051171022536,0.5103320719418343,0.00754708958714231
date,2026-01-05,30,46997,0.009020929883221816,0.005227665606817071,-0.001509970519369227,0.0481142739254294,0.0637667751639933,-0.00025086011189376335,0.00024690938295465504,0.0012591104074754637,0.008902118438213855,0.4700142738447773,0.5009537787717827,0.005014855318515899,0.5325480469645435,0.5334370139968896,0.03741025586399369
date,2026-01-05,60,46845,0.012733862684694989,0.007863139470639713,-0.0030717176299499996,0.04342160863363896,0.06213407582656792,-0.0002894620489366774,0.0004537358803702533,0.0027822555810133225,0.01236920887901833,0.47235869611654635,0.5200453968182769,0.049497471477349515,0.545138827026243,0.5786303242619729,0.19991882770111505
date,2026-01-05,120,46802,0.017556920829811265,0.01144063792305878,-0.005455110877915131,0.007270439833147181,0.02996906178969392,-0.00029005645283602916,0.001256469229711667,0.005165054425079102,0.016649706073493007,0.5325568971043915,0.5342106512674286,0.06585339585616971,0.5461337732626577,0.6357303130676354,0.5031947857677103
date,2026-01-05,240,47262,0.02557621730411846,0.017682024990714484,-0.011094400345128057,0.00388623825384882,0.026701133438604925,-0.0005670999989298503,0.0026096611536608476,0.010527300346198207,0.02290658131546741,0.5631930923558791,0.5666154926432345,0.11739473517942078,0.5896216553327381,0.737407940404639,0.5244222466773893
date,2026-01-05,480,47095,0.03910995053500927,0.026135305408164666,-0.01581092030184639,-0.06790933580400547,-0.02457157853587001,0.0005878485610048294,0.0047095362262593475,0.016398768862851222,0.03514178571113098,0.5933186085035892,0.5330202599200717,0.06393334519416834,0.5364819964704156,0.7014611561823048,0.6629571422503504
date,2026-01-06,5,46078,0.0037789814208459196,0.0021589817844615217,-0.00036122119996459827,-0.01825341364188153,0.02261441949293018,-0.0001414700579158874,4.370180399841981e-05,0.00021975114204871086,0.0037606263068100205,0.5015761897515055,0.5000876105028694,0.005942459280426154,0.5075153682561186,0.49851077244168096,0.0002174054829662804
date,2026-01-06,15,45991,0.006943170776520664,0.003972399273640282,-0.0007729323368877015,-0.03330949684947566,0.020399778813997103,-0.00021668386760226898,0.0001569228152600896,0.0005562484692854325,0.006893004534973345,0.4914981167403279,0.5000864816788948,0.0014035306426852232,0.5106923032314781,0.5086542857764909,0.003810062920467658
date,2026-01-06,30,45865,0.009901717284578664,0.005835651863487999,-0.0014763873520169787,-0.04763619421637182,0.02133405168484632,-0.00027011477569486236,0.00024291781892529898,0.0012062725763221163,0.009776452145048402,0.48404197299243,0.5002741681051454,0.001973943397158573,0.5141863998539519,0.5168960928467026,0.019655751652522962
