dimension,group,horizon,rows,rmse,mae,bias,pearson,rank_ic,prediction_mean,prediction_std,target_mean,target_std,accuracy,balanced_accuracy,mcc,auc,target_up_rate,prediction_up_rate
date,2026-01-05,5,47185,0.003657463472503674,0.0020359999530237195,-0.00032212132239825813,-0.0018300322061440175,0.019620193097313,-0.00013645698277049446,4.6738827442659555e-05,0.00018566433962776367,0.003642865522340143,0.5072623800220845,0.5003257511675868,0.007221458350259268,0.5063923105636432,0.4930349103881763,0.002038562813216682
date,2026-01-05,15,47092,0.006467920431039155,0.003595980396857201,-0.0008595957150508152,0.018857032810200947,0.04363602858768944,-0.00020669777439563376,0.00015939655215070048,0.0006528979406551814,0.006411569678954689,0.48994430035290615,0.5001187116104744,0.0013637705420829016,0.5193935920508463,0.5103320719418343,0.00763212721629321
date,2026-01-05,30,46997,0.009021547209916927,0.005228076590132546,-0.0015126676339802152,0.04740452701329539,0.06302164369222676,-0.0002535572265047516,0.000247293517559556,0.0012591104074754637,0.008902118438213855,0.46995036110696864,0.5008108683786626,0.004200767441718111,0.5321969863998464,0.5334370139968896,0.03858198939048552
date,2026-01-05,60,46845,0.012735618570041086,0.007864492595009568,-0.003077375996327558,0.04253307335767291,0.06130193339548972,-0.00029512041531423575,0.00045405361507603074,0.0027822555810133225,0.01236920887901833,0.4700303328064254,0.5188256592427899,0.04713825220622469,0.5446829160652744,0.5786303242619729,0.1926774041953262
date,2026-01-05,120,46802,0.01756213825943293,0.011444925436455462,-0.005464726613301382,0.005653039703032609,0.028498269044797502,-0.0002996721882222806,0.0012610018198903564,0.005165054425079102,0.016649706073493007,0.530227588417566,0.5334057156933334,0.06430352758397025,0.5453154468770267,0.6357303130676354,0.4973608291484133
date,2026-01-05,240,47262,0.025588909599308287,0.017697112049698566,-0.011120942321606474,0.0035196769244365293,0.026570043721277147,-0.0005936419754082675,0.0026128103683049028,0.010527300346198207,0.02290658131546741,0.5598069922966223,0.5664471916126708,0.11703061407077565,0.5889416256327086,0.737407940404639,0.5175653940573944
date,2026-01-05,480,47095,0.039137003916560706,0.02616249682139661,-0.015868701555417603,-0.06768592439137532,-0.02449667638240923,0.0005300673074336183,0.004734906958619697,0.016398768862851222,0.03514178571113098,0.5908337934842628,0.5328835895543629,0.0634021799608919,0.5359560844145808,0.7014611561823048,0.6570742895977573
date,2026-01-06,5,46078,0.0037789907356621626,0.0021590061316187396,-0.00036152009535477317,-0.01806185641441139,0.022434362831830756,-0.00014176895330606233,4.333093474872253e-05,0.00021975114204871086,0.0037606263068100205,0.5015109681066157,0.5000221940179153,0.001799213861426419,0.5074665987025678,0.49851077244168096,0.00015218383807639628
date,2026-01-06,15,45991,0.006943307741164575,0.003972518053501362,-0.0007743946735322245,-0.033023459425671024,0.020338836289557453,-0.00021814620424679207,0.0001572581743614957,0.0005562484692854325,0.006893004534973345,0.4915416603165618,0.5001323000130047,0.002184765720054512,0.5106316884848524,0.5086542857764909,0.00367943219176591
date,2026-01-06,30,45865,0.009902189023977099,0.0058359404995955,-0.001479308589923025,-0.04768008148086208,0.02087211283999004,-0.0002730360136009086,0.00024326998547069567,0.0012062725763221163,0.009776452145048402,0.48380200266148915,0.5000199007580718,0.00014182333603683363,0.5138827903668209,0.5168960928467026,0.02007024586051179
date,2026-01-06,60,45678,0.013116336685687615,0.008114978948820383,-0.001967970502552865,-0.06317907774416862,-0.010185939456742668,-0.0003293214945048109,0.0004508124118625755,0.001638649008048054,0.012931570538944436,0.4937138601717189,0.5032180802468964,0.009091589915460245,0.4979084883623475,0.5134483967057999,0.1467277028210969
