iter	RMSE
0	0.9979886957
1	0.9977887405
2	0.9975755625
3	0.9973869921
4	0.9971918764
5	0.997036589
6	0.9968520152
7	0.9966884661
8	0.9965354552
9	0.9963891055
10	0.9962432439
11	0.9961149001
12	0.9959934768
13	0.9958628315
14	0.9957568638
15	0.9956276524
16	0.995522301
17	0.9953982059
18	0.9952722951
19	0.9951536794
20	0.9950450158
21	0.9949283575
22	0.9948394598
23	0.9947328498
24	0.9946522999
25	0.9945679298
26	0.9944642359
27	0.9943761589
28	0.9942937479
29	0.9942170545
30	0.9941327944
31	0.9940478381
32	0.9939661209
33	0.9938718984
34	0.9937868078
35	0.9937038625
36	0.9936201764
37	0.9935463109
38	0.9934617246
39	0.9933681377
40	0.9933041182
41	0.9932294125
42	0.9931525607
43	0.9930731138
44	0.9930017977
45	0.992933042
46	0.9928617352
47	0.9927950724
48	0.9927293267
49	0.9926682394
50	0.9926051948
51	0.9925401619
52	0.9924622732
53	0.9924053281
54	0.9923376175
55	0.9923023098
56	0.9922433666
57	0.9921804395
58	0.9921025782
59	0.9920318233
60	0.9919672964
61	0.9919089291
62	0.9918522169
63	0.9918013051
64	0.9917479107
65	0.9917074288
66	0.991655854
67	0.9916003336
68	0.991549916
69	0.9914955435
70	0.991440907
71	0.9913771766
72	0.9913264956
73	0.9912731298
74	0.9912237882
75	0.991163632
76	0.9911160643
77	0.9910641473
78	0.9910112873
79	0.9909691109
80	0.9909170229
81	0.9908656424
82	0.9908125656
83	0.9907586286
84	0.9907129503
85	0.9906728312
86	0.9906192077
87	0.9905717903
88	0.990515564
89	0.9904765465
90	0.9904325329
91	0.9903857087
92	0.9903381279
93	0.9902866685
94	0.9902396952
95	0.9901884467
96	0.9901465588
97	0.9900978442
98	0.9900495939
99	0.9899865367
100	0.9899416331
101	0.9898991213
102	0.9898671878
103	0.9898082054
